article	unit_type	is_adct	confidence	pt	nhe
1	caput_roman	False	1.0	os valores sociais do trabalho e da livre iniciativa	Maãkaátu muraákí resé asui yupirugá sa timaãresé
2	caput	False	1.0	Art. 2o São Poderes da União, independentes e harmônicos entre si, o Legislativo, o Executivo e o Judiciário.	Art. 2º Uniãu kirῖbawasá -ita, yepéyũwa-ita asui suurí waitá uyumuyárisá yepewasú asui umyãwa-ita ley, umuyãsá asui umuyakuntasá.
3	caput_roman	False	1.0	construir uma sociedade livre, justa e solidária	umuyã miíra-itá purãgarã wa-ita uikú, supῖtu timaãresé asui uyupisirupa waita tarupípáwa;        II- Yumutusúsá payẽ yumukiriarisá;        III- Ũbawarã pirasuwasá asui puxuwerasá-ita asui umukuáíra ãmurupísá yaikú asui tetãma mirita;        IV- Umuyã payẽ awá uikúárã purãga, ũbárã umaã puxuwera aãmu-ita supé yupirũgasá rupí, miírasá, yumukamẽsá, tipitingasá, akayusá asui aãmuita umutenhutuwasá.
4	caput_roman	False	1.0	repúdio ao terrorismo e ao racismo	Ũbawa puxuwera wa asui miírasá resé
4	caput_roman	False	1.0	cooperação entre os povos para o progresso da humanidade	Miíra-itá yumuatiri purãga arã usú kuá mundu.
5	caput_roman	False	0.9	homens e mulheres são iguais em direitos e obrigações, nos termos desta Constituição;.	Apigá-ita asui kunhã-ita yepéwasú aῖtá direitu mayê ũbeu kuá papéra
6	caput	False	1.0	Art. 6o São direitos sociais a educação, a saúde, a alimentação, o trabalho, a moradia, o transporte, o lazer, a segurança, a previdência social, a proteção à maternidade e à infância, a assistência aos desamparados, na forma desta Constituição.	Art. 6º Tarikú direitu yũbuesá resé yumpusãga, timbiu resé, muraákí resé, uikúsá resé, uwatá rupiá resé, timaã resésá, muyakũtasá, sikuyaára resé, mẽbiraisá resé, taina-ita resé, ũbá waitá mamẽ taikú, mayê ũbeu mũdusáwa turusúwa.
7	caput_roman	False	1.0	relação de emprego protegida contra despedida arbitrária ou sem justa causa, nos termos de lei complementar, que preverá indenização compensatória, dentre outros direitos;.	muraákí yupitásúka ũbá arã tamusẽmu u tiramẽ maãreséwaára suãtisá upé tarikuté tameẽ sikuyaára asui aãmuitá;.
7	caput_roman	False	1.0	II – seguro-desemprego, em caso de desemprego involuntário;.	II – yupitásúka muraákí mairamẽ ũbá urikú muraákí;.
7	caput_roman	False	1.0	III – fundo de garantia do tempo de serviço;.	III – urikú sikuyaára muiri akayu upuraki;.
7	caput_roman	False	1.0	IV – salário mínimo, fixado em lei, nacionalmente unificado, capaz de atender a suas necessidades vitais básicas e às de sua família com moradia, alimentação, educação, saúde, lazer, vestuário, higiene, transporte e previdência social, com reajustes periódicos que lhe preservem o poder aquisitivo, sendo vedada sua vinculação para qualquer fim;.	IV – sikuyaára, suãtisá upé, payẽ awá supé umuyakũta arã indé neanama tairũ neruka upé, nerimbiu, yumbuesá, pusãga, timaãresésá, yumaãmũdeusá siísa, watasa rupiá, sikuyaára payẽ, turusú, xinga reriku arã aé payẽ manungaára rikuyaára;.
7	caput_roman	False	1.0	V – piso salarial proporcional à extensão e à complexidade do trabalho;.	V – sikuyaára payẽ asui mayê repurakisá;.
7	caput_roman	False	1.0	VI – irredutibilidade do salário, salvo o disposto em convenção ou acordo coletivo;.	VI – mukuáira sikuyaára ayũté mairamẽ ũbeu kuá kunvensãu u siíyasá rupí;.
7	caput_roman	False	1.0	VII – garantia de salário, nunca inferior ao mínimo, para os que percebem remuneração variável;.	VII – yupitásúka kuá sikuyaára ũbá upuderi, miri, miri wa sui awá umuyakũTetãma umaã utirika;.
7	caput_roman	False	1.0	VIII – décimo terceiro salário com base na remuneração integral ou no valor da aposentadoria;.	VIII – mucuim pu musapiri sikuyaára mayêtê urikúsá sikuyaára rupí u mayê apusentaduria yawé;.
7	caput_roman	False	1.0	IX – remuneração do trabalho noturno superior à do diurno;.	IX – uprakiwa pituna reme turusú xinga aára ramẽ waára sui;.
7	caput_roman	False	1.0	X – proteção do salário na forma da lei, constituindo crime sua retenção dolosa;.	X – sikuyaára suãtisá upitásúka mairamẽ ũbá umusasá aé;.
7	caput_roman	False	1.0	XI – participação nos lucros, ou resultados, desvinculada da remuneração, e, excepcionalmente, participação na gestão da empresa, conforme definido em lei;.	XI – maãsa urikúsa sikuyaára yuyukawá isuiwaára, mayê kaátu empres purakisa mayê ũbeu suãtisá;.
7	caput_roman	False	1.0	XII – salário-família pago em razão do dependente do trabalhador de baixa renda nos termos da lei;.	XII – sikuyaára memdasa tasúpé ũbá wai,ta urikú si, kuyaára turusú;.
7	caput_roman	False	1.0	XIII – duração do trabalho normal não superior a oito horas diárias e quarenta e quatro semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho;.	XIII – purakisá ũbá upuderi usasá pu musapiri muiri aára asui karenta e kuátru sumana upé taxari ramẽ aára tapuraki u tamukuaíra muraákí mairamẽ tayukũtai siíyasá upé;.
7	caput_roman	False	1.0	XIV – jornada de seis horas para o trabalho realizado em turnos ininterruptos de revezamento, salvo negociação coletiva;.	XIV - pu yepé ura muraákí mairamẽ tayutrukai u tayukũtai ramẽ;.
7	caput_roman	False	1.0	XV – repouso semanal remunerado, preferencialmente aos domingos;  *     NE: ver Atos Internacionais Equivalentes a Emenda Constitucional.  18                                                     Constituição da República Federativa do Brasil.	XV – mitú ára ramẽ kuri aápe kuri pitusára muraákí sumana pukusá;.
7	caput_roman	False	1.0	XVI – remuneração do serviço extraordinário superior, no mínimo, em cinquenta por cento à do normal;.	XVI - sikuyaára turusú piíriwa ayũté sῖkuẽta pursẽtu aé retéwa sui;  “Mundu sa Turusu” waá, ũbêuwa mayé míra itá uikú arãma purãga iké braziu upé        37.
7	caput_roman	False	1.0	XVII – gozo de férias anuais remuneradas com, pelo menos, um terço a mais do que o salário normal;.	XVII – pitusá akayu rupí urikútê sikuyaára turusú xinga salariu sui;.
7	caput_roman	False	1.0	XVIII – licença à gestante, sem prejuízo do emprego e do salário, com a duração de cento e vinte dias;.	XVIII – puruãwa urikútê upitu sentu vinti aára ma sikuyaára irũ;.
7	caput_roman	False	1.0	XIX – licença-paternidade, nos termos fixados em lei;.	XIX – paya pitusá uikú suãtisá upé;.
7	caput_roman	False	1.0	XX – proteção do mercado de trabalho da mulher, mediante incentivos específicos, nos termos da lei;.	XX – yupitásúka kuyã muraákí uikú suãtisá upé;.
7	caput_roman	False	1.0	XXI – aviso prévio proporcional ao tempo de serviço, sendo no mínimo de trinta dias, nos termos da lei;.	XXI – kuekaátu sundere ikupukusá muraákí resé ayũté trinta aára, kuá suãtisá upé;.
7	caput_roman	False	1.0	XXII – redução dos riscos inerentes ao trabalho, por meio de normas de saúde, higiene e segurança;.	XXII – uyaruka muraákí mairamẽ masí kiasá asui muyakũtasá rupí;.
7	caput_roman	False	1.0	XXIII – adicional de remuneração para as atividades penosas, insalubres ou perigosas, na forma da lei;.	XXIII – Turusú sikuyaára muraákí puraárawá iwasúwa, asui yawáitewa;.
7	caput_roman	False	1.0	XXV – assistência gratuita aos filhos e dependentes desde o nascimento até 5 (cinco) anos de idade em creches e pré-escolas;.	XXV - muyakũtasá taáraira-ita asui matiríwa-ita urikú waitá akayu yawẽtu yũbeusaára rukaita rupí;.
7	caput_roman	False	1.0	XXVI – reconhecimento das convenções e acordos coletivos de trabalho;.	XXVI – maãsa kaátuwa kunvensãu taresé ,asui siíyasa murak, i, taresé;.
7	caput_roman	False	1.0	XXVII – proteção em face da automação, na forma da lei;.	XXVII – pitasúkasá purakisa upé suãtisá upé;.
7	caput_roman	False	1.0	XXVIII – seguro contra acidentes de trabalho, a cargo do empregador, sem excluir a indenização a que este está obrigado, quando incorrer em dolo ou culpa;.	XXVIII – Pitasúka mais ramẽ imuraákí upé upitá muraákí yaára irũ aápe ũbá upuderi uyuka isui sikuyaára mairamẽ puxuera usasá Irupí;.
7	caput_roman	False	1.0	XXIX – ação, quanto aos créditos resultantes das relações de trabalho, com prazo prescricional de cinco anos para os trabalhadores urbanos e rurais, até o limite de dois anos após a extinção do contrato de trabalho;     a) (Revogada);     b) (Revogada);.	XXIX – muraákí rikuyaára reséwa urikútê pu akayu yupitásúka purákisá-ita supé uikú waitá Tetãma upé asui tẽdá-itá rupí upuderi usasá mukũi akayu usẽmu rire imuraákí sui;.
7	caput_roman	False	1.0	XXX – proibição de diferença de salários, de exercício de funções e de critério de admissão por motivo de sexo, idade, cor ou estado civil;.	XXX – saisú ramẽ sikuyaára aãmurupí muraákísa rupí asui yumukamẽsá rupí akayu tipitigasá rupí u uikúsá;.
7	caput_roman	False	1.0	XXXI – proibição de qualquer discriminação no tocante a salário e critérios de admissão do trabalhador portador de deficiência;.	XXXI – saisusá purunkita seésé puxuwera kuá purakisá matiriwa;.
7	caput_roman	False	1.0	XXXII – proibição de distinção entre trabalho manual, técnico e intelectual ou entre os profissionais respectivos;.	XXXII – saisú yumuruayana muraákí upé kuásá asui aãmũ purakisa tairũ;.
7	caput_roman	False	1.0	XXXIII – proibição de trabalho noturno, perigoso ou insalubre a menores de dezoito e de qualquer trabalho a menores de dezesseis anos, salvo na condição de aprendiz, a partir de quatorze anos;.	XXXIII – saisú muraákí pituna ramẽ yawáite u iwasú tasúpé kuá-itá ũbawarê tarikú musapiri pu musapiri akayu asui mayêwãtu muraákí tasúpé kuá-itá ũbawaárê tarikú musapiri pu yepé ayũté mairamẽ uyũbué uikú, urikú ramẽana mukũi pu irũdí akayu;.
7	caput_roman	False	1.0	XXXIV – igualdade de direitos entre o trabalhador com vínculo empregatício permanente e o trabalhador avulso.	XXXIV – yepéwasú direitu purakisá tasúpé muraákí upé asui purakisá aãmutéwa.
8	caput_roman	False	0.9	a lei não poderá exigir autorização do Estado para a fundação de sindicato, ressalvado o registro no órgão competente, vedadas ao Poder Público a interferência e a intervenção na organização sindical;.	suãtisá ũbá upuderi uprãdu rete tetãma sui sῖdikaátu yupiru arã ayũté mairamẽ tamũyã papéra kuá-itá tuxawá turusú waitá tayumuatiri arã kuá muũti sindical;       II- ũbá upuderi aikué mukũi muũti sindikaln mayêntu yumukamẽsá kuásá rupí u muyakũtasá yepé tetãma upéte purákisá-ita tãbeuwa seésé u muraákí yaára-ita uputaiwa asui ũbáa upuderi kuáira piri aé tetãma sui;  38                  “Mundu sa Turusu” waá, ũbêuwa mayé míra itá uikú arãma purãga iké braziu upé         III- sῖdikaátu tasúpé tarikuté tapitasúka direitu asui putaisa siíyasá rupí u ipesuwa aye juiz tairũ asui muyakũtasá;.
8	caput_roman	False	0.9	II – é vedada a criação de mais de uma organização sindical, em qualquer grau, representativa de categoria profissional ou econômica, na mesma base territorial, que será  Dos Direitos e Garantias Fundamentais                                                      19  definida pelos trabalhadores ou empregadores interessados, não podendo ser inferior à área de um Município;.	IV - yaátirisá wasú uxari mũdusáwa turusúwa ukuá mairamẽ yupurunkitá ukuáwá taresé usú yumukuáira papéra upé sikuyaára tasúpé arã kuá-itá umuyakũta waitá sῖdikaátu resé mayê ũbeu kuá suãtisá upé;        V- ũbá awá urikútê uyumuapika u upitá sῖdikaátu upé;.
